_id,_action,_visible,_lat,_lon
-123728,modify,true,-16.92165516127,145.75842763089
-123729,modify,true,-16.92155921624,145.75852791796
-123732,modify,true,-16.92143928489,145.7587284921
-123733,modify,true,-16.92137931918,145.75884131505
-123735,modify,true,-16.92125938772,145.758954138
-123737,modify,true,-16.92116344249,145.75907949683
-123739,modify,true,-16.92106749721,145.75920485567
-123741,modify,true,-16.92097155188,145.7593302145
-123743,modify,true,-16.92086361333,145.7594806451
-123745,modify,true,-16.92077966108,145.75960600394
-123747,modify,true,-16.92067172242,145.75974389866
-123749,modify,true,-16.92057577689,145.75983164984
-123752,modify,true,-16.92044385171,145.75999461633
-123753,modify,true,-16.91501085261,145.75650964072
-123755,modify,true,-16.91490291065,145.75672275074
-123757,modify,true,-16.91477098149,145.75689825311
-123759,modify,true,-16.91466303939,145.7570612196
-123761,modify,true,-16.91448313574,145.7572868655
-123763,modify,true,-16.91436319989,145.75746236787
-123766,modify,true,-16.91436319989,145.75768801377
-123767,modify,true,-16.91454310365,145.75800141086
-123769,modify,true,-16.91459107795,145.75812676969
-123771,modify,true,-16.91466303939,145.75823959264
-123773,modify,true,-16.91475898793,145.75836495148
-123775,modify,true,-16.91486692998,145.7585780615
-123777,modify,true,-16.91493889131,145.7587284921
-123779,modify,true,-16.91503483971,145.75889145858
-123781,modify,true,-16.91511879452,145.75899174565
-123784,modify,true,-16.91526271696,145.75886638681
-123785,modify,true,-16.91537065872,145.75869088445
-123787,modify,true,-16.91550258746,145.75851538208
-123789,modify,true,-16.91562252259,145.75837748736
-123792,modify,true,-16.91577843815,145.75813930557
-123794,modify,true,-16.91588637962,145.75795126732
-123796,modify,true,-16.91598232753,145.75783844437
-123798,modify,true,-16.91606628192,145.757662942
-123800,modify,true,-16.91619821017,145.7575125114
-123805,modify,true,-16.92028794001,145.76042083636
-123806,modify,true,-16.92047983131,145.76057126697
-123808,modify,true,-16.92062374966,145.76073423345
-123811,modify,true,-16.92086361333,145.76093480759
-123812,modify,true,-16.92098354505,145.76102255877
-123814,modify,true,-16.92111546985,145.76112284584
-123816,modify,true,-16.92119942195,145.76122313291
-123818,modify,true,-16.92133134661,145.76133595586
-123820,modify,true,-16.92143928489,145.76142370704
-123822,modify,true,-16.92154722311,145.76149892234
