lat	long	height	material	screen
-16.923271	145.761532	0	0	0
-16.923187	145.764120	0	0	0
-16.923174	145.762345	0	0	0
-16.923174	145.762345	0	0	0
-16.923162	145.761440	0	0	0
-16.923151	145.766256	0	0	0
-16.923065	145.762253	0	0	0
-16.923053	145.761348	0	0	0
-16.923053	145.761348	0	0	0
-16.923053	145.761348	0	0	0
-16.923053	145.761348	0	0	0
-16.922951	145.766337	0	0	0
-16.922951	145.766337	0	0	0
-16.922951	145.766337	0	0	0
-16.922951	145.766337	0	0	0
-16.922951	145.766337	0	0	0
-16.922951	145.766337	0	0	0
-16.922949	145.763053	0	0	0
-16.922944	145.761256	0	0	0
-16.922930	145.764992	0	0	0
-16.922853	145.763174	0	0	0
-16.922848	145.762069	0	0	0
-16.922843	145.764917	0	0	0
-16.922835	145.761164	0	0	0
-16.922756	145.764843	0	0	0
-16.922739	145.761977	0	0	0
-16.922728	145.761073	0	0	0
-16.922686	145.762949	0	0	0
-16.922648	145.764360	0	0	0
-16.922648	145.761576	0	0	0
-16.922648	145.761576	0	0	0
-16.922631	145.761885	0	0	0
-16.922558	145.765897	0	0	0
-16.922558	145.763558	0	0	0
-16.922502	145.763629	0	0	0
-16.922441	145.763602	0	0	0
-16.922425	145.763620	0	0	0
-16.922416	145.762923	0	0	0
-16.922413	145.761701	0	0	0
-16.922404	145.766093	0	0	0
-16.922392	145.763767	0	0	0
-16.922319	145.762515	0	0	0
-16.922276	145.763700	0	0	0
-16.922233	145.762441	0	0	0
-16.922206	145.763640	0	0	0
-16.922138	145.764318	0	0	0
-16.922136	145.763581	0	0	0
-16.922091	145.763304	0	0	0
-16.922067	145.764258	0	0	0
-16.921925	145.763400	0	0	0
-16.921925	145.763400	0	0	0
-16.921854	145.763340	0	0	0
-16.921854	145.763340	0	0	0
-16.921841	145.766014	0	0	0
-16.921776	145.765959	0	0	0
-16.921776	145.765959	0	0	0
-16.921713	145.763220	0	0	0
-16.921682	145.762580	0	0	0
-16.921642	145.763160	0	0	0
-16.921642	145.763160	0	0	0
-16.921633	145.760957	0	0	0
-16.921572	145.763099	0	0	0
-16.921527	145.760868	0	0	0
-16.921505	145.763778	0	0	0
-16.921389	145.762807	0	0	0
-16.921364	145.763658	0	0	0
-16.921294	145.763598	0	0	0
-16.921273	145.762954	0	0	0
-16.921092	145.766905	0	0	0
-16.921079	145.764615	0	0	0
-16.920986	145.760408	0	0	0
-16.920943	145.763299	0	0	0
-16.920869	145.760310	0	0	0
-16.920751	145.762207	0	0	0
-16.920641	145.764398	0	0	0
-16.920609	145.765957	0	0	0
-16.920553	145.762964	0	0	0
-16.920500	145.764277	0	0	0
-16.920481	145.761622	0	0	0
-16.920415	145.766119	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
-16.920409	145.761561	0	0	0
