"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"54",21693,-16.91975,145.76381,"PP27",0,2013-01-02,2013-01-08,TRUE,5,0,5,5,0,0,NA,NA,NA,NA,1,7,6
"55",55377,-16.91715,145.76301,"PP28",0,2013-01-02,2013-01-08,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,1,7,6
"56",53343,-16.91735,145.76202,"PP29",0,2013-01-02,2013-01-08,TRUE,20,29,21,21,0,0,29,29,0,0,1,7,6
"57",47501,-16.91546,145.76033,"PP30",0,2013-01-02,2013-01-08,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,1,7,6
"58",623,-16.92215,145.76311,"PP31",0,2013-01-02,2013-01-08,TRUE,4,2,4,4,0,0,2,2,0,0,1,7,6
"59",23463,-16.91717,145.76106,"PP11-1",0,2013-01-02,2013-01-08,TRUE,3,2,3,3,0,0,2,2,0,0,1,7,6
"60",47457,-16.91626,145.76032,"PP24",0,2013-01-02,2013-01-08,TRUE,2,0,2,2,0,0,NA,NA,NA,NA,1,7,6
"61",900029,-16.91801,145.76245,"PP44",0,2013-01-02,2013-01-08,TRUE,6,5,6,6,0,0,5,5,0,0,1,7,6
"62",23463,-16.91717,145.76106,"PP11-1",0,2013-01-08,2013-01-15,TRUE,4,1,4,4,4,0,1,1,0,0,7,14,7
"63",47501,-16.91546,145.76033,"PP30",0,2013-01-08,2013-01-15,TRUE,15,2,15,15,6,0,2,2,1,0,7,14,7
"64",450,-16.91655,145.75955,"PP23",0,2013-01-08,2013-01-15,TRUE,19,1,19,19,5,0,1,1,0,0,7,14,7
"65",47457,-16.91626,145.76032,"PP24",0,2013-01-08,2013-01-15,TRUE,5,0,5,5,1,0,NA,NA,NA,NA,7,14,7
"66",22950,-16.91897,145.76313,"PP25",0,2013-01-08,2013-01-15,TRUE,19,9,19,19,6,0,9,9,3,0,7,14,7
