"GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop"
12036,"-16.92137","145.76194","PP13",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",6,8,,,,,,,,
6511,"-16.92036","145.76231","PP14",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",12,11,,,,,,,,
478,"-16.91868","145.76137","PP17",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",6,2,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",1,0,,,,,,,,
454,"-16.91737","145.75911","PP20",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"Fail",1,1,,,,,,,,
35627,"-16.91646","145.75845","PP21",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",0,0,,,,,,,,
626,"-16.92237","145.7633","PP07",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",1,0,,,,,,,,
450,"-16.91655","145.75955","PP23",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",12,2,,,,,,,,
651,"-16.92109","145.76342","PP06",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",4,2,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",13,3,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",14,20,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",5,1,,,,,,,,
55377,"-16.91715","145.76301","PP28",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",2,2,,,,,,,,
53343,"-16.91735","145.76202","PP29",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",6,20,,,,,,,,
47501,"-16.91546","145.76033","PP30",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",5,2,,,,,,,,
427,"-16.91646","145.75903","PP22",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",1,2,,,,,,,,
643,"-16.92186","145.76408","PP05",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",1,2,,,,,,,,
619,"-16.92303","145.76327","PP08",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",6,5,,,,,,,,
26646,"-16.92096","145.76434","PP04",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",5,1,,,,,,,,
36629,"-16.92062","145.76477","PP03",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",5,0,,,,,,,,
13424,"-16.91982","145.7657","PP02",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",7,4,,,,,,,,
23970,"-16.9205","145.7664","PP01",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",5,3,,,,,,,,
573,"-16.92339","145.76163","PP10",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",4,8,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",2,0,,,,,,,,
55377,"-16.91715","145.76301","PP28",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",2,1,,,,,,,,
53343,"-16.91735","145.76202","PP29",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",12,18,,,,,,,,
6511,"-16.92036","145.76231","PP14",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",9,21,,,,,,,,
47501,"-16.91546","145.76033","PP30",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",5,1,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",15,8,,,,,,,,
669,"-16.92164","145.76256","PP11",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",27,16,,,,,,,,
427,"-16.91646","145.75903","PP22",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",2,0,,,,,,,,
602,"-16.92344","145.76225","PP09",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",5,10,,,,,,,,
26687,"-16.92112","145.76051","PP12",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",0,0,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",17,8,,,,,,,,
450,"-16.91655","145.75955","PP23",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"Fail",0,0,,,,,,,,
12036,"-16.92137","145.76194","PP13",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",11,11,,,,,,,,
35627,"-16.91646","145.75845","PP21",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",0,0,,,,,,,,
435,"-16.91749","145.75932","PP20-1",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",3,1,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"Fail",0,0,,,,,,,,
494,"-16.91929","145.76012","PP18",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",7,17,,,,,,,,
478,"-16.91868","145.76137","PP17",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",3,0,,,,,,,,
35611,"-16.92006","145.76126","PP16",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",1,1,,,,,,,,
619,"-16.92303","145.76327","PP08",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",1,1,,,,,,,,
47457,"-16.91626","145.76032","PP24",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",7,1,,,,,,,,
626,"-16.92237","145.7633","PP07",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",1,1,,,,,,,,
564,"-16.92397","145.7618","PP15",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",4,1,,,,,,,,
23970,"-16.9205","145.7664","PP01",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",8,5,,,,,,,,
13424,"-16.91982","145.7657","PP02",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",11,12,,,,,,,,
36629,"-16.92062","145.76477","PP03",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",5,0,,,,,,,,
26646,"-16.92096","145.76434","PP04",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",1,1,,,,,,,,
643,"-16.92186","145.76408","PP05",0.00,13/11/2012 0:00:00,,"Fail",,,,,,,,,,
