ID,gender,mateID,enzyme,age,gonoCycle,timeDeath,typeDeath,whereTrapped,motherID,fatherID,infStatus,releaseLoc,long,lat,gridID
12632,1,-1,1.5092815262380381,24,1,3,0,-1,-1,-1,0,-1,145.76247033745034,-16.917637561002206,1390
12679,0,-1,0.8135068136382244,23,0,3,0,-1,-1,-1,0,-1,145.76298069448717,-16.914112949447862,1508
12689,1,-1,1.11241827664183,22,1,3,0,-1,-1,-1,0,-1,145.7594533893871,-16.91764863889862,750
12692,0,-1,0.867339336930155,23,0,3,0,-1,-1,-1,0,-1,145.75601924898535,-16.91493076976369,206
12695,0,-1,0.6068139562032513,22,0,3,0,-1,-1,-1,0,-1,145.76184192349996,-16.91367365614588,1290
12719,0,-1,1.5295113256781687,21,0,3,0,-1,-1,-1,0,-1,145.76170223054916,-16.915502531102707,1225
12738,1,-1,0.7062319937742643,22,1,3,0,-1,-1,-1,0,-1,145.7633986407651,-16.919289014247536,1584
12759,1,-1,1.1207507072597138,22,1,3,0,-1,-1,-1,0,-1,145.759537109692,-16.916905016305392,800
12776,1,-1,1.5119105469550331,20,0,3,0,-1,-1,-1,0,-1,145.7634690427384,-16.922354518656846,1572
12794,1,-1,0.7164977930135421,24,1,3,0,-1,-1,-1,0,-1,145.76152900795103,-16.920882306603698,1204
12795,1,7339,1.5780307773149898,18,0,3,0,-1,-1,-1,0,-1,145.75483799327847,-16.916550830142153,108
12821,1,-1,1.118412359070345,22,1,3,0,-1,-1,-1,0,-1,145.76937603592316,-16.91949721968957,2139
12837,1,-1,0.8468375386785112,22,1,3,0,-1,-1,-1,0,-1,145.76026556079157,-16.917868096987874,894
12855,0,-1,1.378724993823408,23,0,3,0,-1,-1,-1,0,-1,145.76234043564043,-16.922969727217225,1368
12856,0,-1,0.7224550902958355,23,0,3,0,-1,-1,-1,0,-1,145.76400930286613,-16.921963614130863,1649
12860,0,-1,0.7921612133852534,23,0,3,0,-1,-1,-1,0,-1,145.76902277139524,-16.9172999741628,2108
12874,0,-1,0.6540634540490202,25,0,3,0,-1,-1,-1,0,-1,145.76604796286162,-16.922440072677112,1863
12914,0,-1,1.0865287779945276,20,0,3,0,-1,-1,-1,0,-1,145.7611155058511,-16.918155375934177,1099
12920,1,-1,1.4234333142287423,24,1,3,0,-1,-1,-1,0,-1,145.75575128236653,-16.916974254231516,172
12924,0,-1,1.0879951044100664,22,0,3,0,-1,-1,-1,0,-1,145.7630741717178,-16.918708935220437,1541
12931,1,-1,0.7429738854172967,25,1,3,0,-1,-1,-1,0,-1,145.76161374841763,-16.917778702441506,1216
12939,0,-1,0.6568410041856907,21,0,3,0,-1,-1,-1,0,-1,145.7573918935134,-16.914710653294488,402
12942,1,8706,1.4965262880198051,20,0,3,0,-1,-1,-1,0,-1,145.76110073940393,-16.911476159057525,1126
12993,1,-1,1.2230195814392857,22,1,3,0,-1,-1,-1,0,-1,145.7668646276826,-16.919371457083585,1937
13031,1,9204,1.5884029768987884,19,0,3,0,-1,-1,-1,0,-1,145.76493258164874,-16.923996021220525,1754
13081,0,-1,1.5322515761128952,20,0,3,0,-1,-1,-1,0,-1,145.76140544019313,-16.918838793454952,1153
13093,0,-1,1.1671821211113922,25,0,3,0,-1,-1,-1,0,-1,145.7622764863359,-16.920799107982024,1377
13096,0,-1,1.3046927521120153,22,0,3,0,-1,-1,-1,0,-1,145.76873190513996,-16.92129853254253,2071
